ID,smiles,docking_score,flag,split
10088207,Cc1nc(-c2ccc(C)s2)c(-c2ccc(S(C)(=O)=O)cc2)o1,-9.874,1,train
10668540,Cc1cc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)ccc1F,-11.477,1,train
15434168,C/C=C\c1cncc(-c2ccc(C(C)C(=O)O)cc2)c1,-8.202,1,train
10201259,Cc1ccc(Oc2c(-c3ccc(S(C)(=O)=O)cc3)oc(C)cc2=O)c(Cl)c1,-9.969,1,train
17919604,CS(=O)(=O)c1ccc(-c2cnn(CC3CC3)c(=O)c2-c2ccccc2)cc1,-11.054,1,train
10091264,CS(=O)(=O)c1ccc(-c2[nH]c3ccccc3c2-c2ccc(Cl)cc2)cc1,-10.756,1,train
145989981,NS(=O)(=O)c1ccc(-c2conc2-c2ccc(F)cc2)cc1,-10.106,1,train
44586786,NS(=O)(=O)c1ccc(-c2[nH]c3ccc(Cl)cc3c2-c2ccccc2Cl)cc1,-9.852,1,train
44343879,Cc1ccncc1-c1c(Cl)ncn1-c1ccc(S(C)(=O)=O)cc1,-9.886,1,train
44271257,Cc1nc(-c2ccc(S(N)(=O)=O)cc2)c(-c2ccc(Br)cc2)s1,-10.594,1,train
172455375,CC(=O)NCCc1cc(O)c(O)cc1C(=O)c1ccc(O)c(O)c1,-7.114,1,train
44456592,CN(Cc1ccccc1)c1cc(C(F)(F)F)nc(-c2ccc(S(C)(=O)=O)cc2)n1,-11.069,1,train
9905412,CS(=O)(=O)c1ccc(-c2ccccc2-c2ccc(F)cc2)cc1,-10.637,1,train
44474284,CCc1ccc(Nc2cnccc2NS(=O)(=O)C(F)(F)F)cc1,-7.377,1,train
10109982,CC(C)c1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1,-10.832,1,train
9819804,C[C@@H](OC1=C(c2ccc(S(C)(=O)=O)cc2)C(C)(C)OC1=O)C1CC1,-9.413,1,train
9858164,O=S(=O)(Nc1ccncc1Oc1ccccc1)C(F)(F)F,-6.274,1,train
